branch_id,name,area,emirate,address,google_rating,google_reviews
BD01,Bedashing Beauty Lounge Mirdif 35,Mirdif,Dubai,"Mirdif 35, Level 2, unit L2-10, Dubai",4.6,568
BD02,Bedashing Beauty Studio Zawaya Walk,Al Shahba,Sharjah,"Shop 32 & 33, Zawaya Walk, University City Rd, Al Shahba, Sharjah",4.7,286
BD03,Bedashing Beauty Lounge City Walk,City Walk,Dubai,"City Walk, Al Wasl, Dubai",4.6,454
BD04,Bedashing Beauty Lounge Al Warqa City Mall,Al Warqa,Dubai,"Shop 14, Ground Floor, Al Warqa City Mall, Al Warqa, Dubai",4.7,280
BD05,Bedashing Nad Al Sheba,Nad Al Sheba,Dubai,"Pavillion, Shop No. GF-RT-0002, Nad Al Sheba, Dubai",4.6,319
BD06,Bedashing Elegance Lounge Al Safa 2,Al Safa 2,Dubai,"Showroom G02, Indigo Central 5, Sheikh Zayed Rd, Al Safa 2, Dubai",4.6,98
BD07,Bedashing Beauty Suite Umm Suqeim,Al Barsha 2,Dubai,"Shop 1-3, Umm Suqeim St, Al Barsha 2, Dubai",4.7,396
BD08,Bedashing Glam Haven Muwaileh,Muwaileh,Sharjah,"Misk 2 Muwaileh Trading, Shop No. M-18, Muweilah Commercial, Sharjah",4.6,78
BD09,Bedashing Beauty Emporium Jumeirah Park,Jumeirah Park,Dubai,"Shop 17 & 18, Jumeirah Park Club House, Jumeirah Park, Dubai",4.8,158
BD10,Bedashing Wellness Lounge Palm Jumeirah,Palm Jumeirah,Dubai,"GM2-B7-B1-26, Golden Mile 7, Palm Jumeirah, Dubai",4.9,38
BD11,Bedashing Beauty Oasis Al Taif Mall,Al Taif,Fujairah,"Taif Mall, Shop G/F 13, Fujairah",4.9,125
BD12,Bedashing Beauty Retreat Al Maqta,Al Maqta,Abu Dhabi,"Villa 31, 2 Al Khor St, opposite Fairmont Bab Al Bahr, Abu Dhabi",4.7,486
BD13,Bedashing Glamour Lounge Mohammed Bin Zayed City,Mohammed Bin Zayed City,Abu Dhabi,"Mohamed Bin Zayed City, Zone 1, Abu Dhabi",4.6,384
BD14,Bedashing Beautification Spot Ministries Complex,Ministry Area,Abu Dhabi,"Shop No. 3, ICT Building, Khalifa Park, Ministry Area, Abu Dhabi",4.8,443
BD15,Bedashing Cosmetics Lounge Shakhbout City,Shakhbout City,Abu Dhabi,"Shakhbout City 3, Abu Dhabi",4.6,515
BD16,Bedashing Beauty Lounge Khalifa City A,Khalifa City,Abu Dhabi,"Al Mireef St, Khalifa City, SE42, Abu Dhabi",4.5,1382
BD17,Bedashing Beauty Hub Khaleej Al Arabi,Khaleej Al Arabi,Abu Dhabi,"Villa 487, next to Mubarak Bin Muhamad School, Khaleej Al Arabi St, Abu Dhabi",4.7,1028
BD18,Bedashing Grooming Lounge Al Falah Village 4,Al Falah,Abu Dhabi,"Al Falah Village 4, Abu Dhabi",4.6,365
BD19,"Bedashing Aesthetic Lounge Delma, Kim Tower",Al Nahyan,Abu Dhabi,"Shop 1 & 2, Kim Tower, Delma Street, Al Nahyan, Abu Dhabi",4.7,456
BD20,Bedashing Beauty Center Al Ain,Al Ain,Abu Dhabi,"Villa 14, Hamdan Bin Mohammad St., Al Markaniyah, Al Ain",4.8,829
BD21,Bedashing Beauty Lounge Al Neem City Center,Saqr Bin Mohd City,Ras Al Khaimah,"Villa 3, Sheikh Rashid Bin Saeed Al Maktoum Rd, Saqr Bin Mohd City, Ras Al Khaimah",4.6,352
BD22,Bedashing Beauty Spa Shahama,Shahama,Abu Dhabi,"Deerfields Mall, Shop No. 419B, Al Shahama Road, Abu Dhabi",4.6,203
BD23,Bedashing Beauty Salon West Yas,West Yas,Abu Dhabi,"West Yas Plaza, Yas Island, Abu Dhabi",4.6,301
